Crash Number,City/Town Name,Crash Date,Crash Time,Crash Severity,Number of Vehicles,Total Nonfatal Injuries,Total Fatal Injuries,Manner of Collision,Vehicle Action Prior to Crash,Vehicle Travel Directions,Most Harmful Events,Vehicle Configuration,Road Surface Condition,Ambient Light,Weather Condition,At Roadway Intersection,Distance from Nearest Roadway Intersection,Distance from Nearest Milemarker,Distance from Nearest Exit,Distance from Nearest Landmark,Non Motorist Type,X Coordinate,Y Coordinate
3490331,BOSTON (DORCHESTER),01-Jan-2013,00:00 AM,Not Reported,3,0,0,"Sideswipe, same direction",V1: Parked / V2:Parked / V3:Not reported,V1:Not reported / V2:Not reported / V3:Not reported ,V1: Collision with parked motor vehicle / V2: Collision with parked motor vehicle / V3: Not reported ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V3:Not reported",Snow,Dark - lighted roadway,Snow,,48 RIDGEWOOD STREET,,,,,235797.17803,894713.22703
3391593,BOSTON (DORCHESTER),01-Jan-2013,1:20 AM,Property damage only (none injured),2,0,0,Single vehicle crash,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Not reported / V2:Not reported ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Clear,,DORCHESTER AVENUE,,,,,,
3365690,BOSTON,01-Jan-2013,2:55 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Northbound ,V1: Collision with motor vehicle in traffic ,V1: Passenger car,Snow,Dark - lighted roadway,Not Reported,JAMAICAWAY / ELIOT STREET,,,,,,231358.6406,895992.0627
3489931,BOSTON (DORCHESTER),01-Jan-2013,2:59 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Not reported ,V1: Not reported ,V1: Passenger car,Slush,Dawn,Clear/Cloudy,,17 PAYSON AVENUE,,,,,235763.5293,896072.625
3490234,BOSTON (DORCHESTER),01-Jan-2013,3:44 AM,Non-fatal injury,2,1,0,Head-on,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Not reported / V2:Not reported ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Slush,Dark - lighted roadway,Clear,,28 LONGFELLOW STREET,,,,,235716.9597,894757.3779
3340565,BOSTON,01-Jan-2013,5:20 AM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1:Northbound ,V1: Collision with median barrier ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Dark - roadway not lighted,Clear,,EAST BOSTON EXPRESSWAY Rte 1A N / CALLAHAN TUNNEL,,,BENNINGTON ST.,,238035.7765,902633.3468
3328507,BOSTON,01-Jan-2013,6:23 AM,Property damage only (none injured),4,0,0,Rear-end,V1: Travelling straight ahead / V2:Parked / V3:Parked / V4:Parked,V1:Southbound / V2:Not reported / V3:Not reported / V4:Not reported ,V1: Collision with parked motor vehicle / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic / V4: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car / V3:Passenger car / V4:Passenger car,Dry,Dawn,Clear,OLD COLONY AVENUE / GAVIN WAY,,,,,,236881.1719,897465.6873
3328508,BOSTON,01-Jan-2013,7:00 AM,Not Reported,1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Southbound ,V1: Collision with tree ,V1: Passenger car,Wet,Dawn,Cloudy,,WILLIAM DAY BOULEVARD / COLUMBIA ROAD,,,@ PLEASURE BAY,,239296.2142,898233.8841
3384513,BOSTON,01-Jan-2013,7:46 AM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1:Eastbound ,V1: Collision with median barrier ,V1: Passenger car,Dry,Daylight,Cloudy,,RAMP - RT 93 NB TO RT 90 EB Rte 1A E / RAMP - RT 93 NB TO RT 90 (RAMP K) Rte 1A N,,,L RAMP,,236013.5397,898919.087
3411746,BOSTON,01-Jan-2013,11:29 AM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Backing,V1:Not reported ,V1: Collision with pedestrian ,V1: Passenger car,Dry,Daylight,Clear/Clear,,330 WASHINGTON STREET,,,,P3:Pedestrian,236327.0308,900785.86
3328509,BOSTON,01-Jan-2013,12:00 PM,Property damage only (none injured),2,0,0,Angle,V1: Travelling straight ahead / V2:Turning left,V1:Westbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Clear,GALLIVAN BOULEVARD / DORCHESTER AVENUE,,,,,,235804.4062,892252.5627
3490131,BOSTON (DORCHESTER),01-Jan-2013,1:15 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Parked,V1:Not reported / V2:Not reported ,V1: Not reported / V2: Not reported ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Wet,Dark - lighted roadway,Clear/Cloudy,,186 NEPONSET AVENUE,,,,,237082.6569,893645.6172
3490231,BOSTON,01-Jan-2013,4:50 PM,Non-fatal injury,2,1,0,Rear-end,V1: Not reported / V2:Not reported,V1:Not reported / V2:Not reported ,V1: Not reported / V2: Not reported ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Clear,,576 WASHINGTON STREET,,,,,236045.9629,900412.4975
3411744,BOSTON,02-Jan-2013,3:57 AM,Non-fatal injury,2,1,0,Single vehicle crash,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Westbound / V2:Southbound ,V1: Not reported / V2: Not reported ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Dark - lighted roadway,Clear,SUMMER STREET / ATLANTIC AVENUE,,,,,,236630.702,900331.4409
3369430,BOSTON (ROXBURY),02-Jan-2013,3:30 PM,Not Reported,2,0,0,Not reported,V1: Not reported / V2:Not reported,V1:Not reported / V2:Not reported ,V1: Not reported / V2: Not reported ,V1: Unknown vehicle configuration / V2:Unknown vehicle configuration,Not reported,Not reported,Not Reported,,891 MASSACHUSETTS AVENUE,,,,,235376.1832,897965.4239
3327055,BOSTON,02-Jan-2013,5:07 PM,Non-fatal injury,2,1,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Westbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Dark - lighted roadway,Clear,,SOLDIERS FIELD ROAD / NORTH BEACON STREET,,,,,228076.4976,901010.8434
3340566,BOSTON,02-Jan-2013,6:04 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Changing lanes / V2:Travelling straight ahead,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Dark - lighted roadway,Cloudy,,Rte 93 S,,Exit 18 on Rte 93 S,,,236013.2783,899092.9981
3328504,BOSTON,02-Jan-2013,7:51 PM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1:Eastbound ,V1: Collision with tree ,V1: Passenger car,Dry,Dark - lighted roadway,Clear,RIVERWAY / AUTUMN STREET,,,,,,232105.411,898811.5289
3331472,BOSTON,02-Jan-2013,10:12 PM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Turning left,V1:Northbound ,V1: Collision with pedestrian ,V1: Passenger car,Dry,Dark - lighted roadway,Clear,RIVERWAY / BROOKLINE AVENUE,,,,,P1:Pedestrian,232136.0747,898499.2837
3384610,BOSTON,03-Jan-2013,00:00 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Northbound ,V1: Collision with median barrier ,V1: Passenger car,Dry,Dark - lighted roadway,Clear,JOHN F FITZGERALD EXPRESSWAY Rte 93 N / RAMP - FRONTAGE ROAD TO RT 93 NB,,,,RAMP LL,,236017.558,899013.108
3327791,BOSTON,03-Jan-2013,8:44 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Eastbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Clear,,SOLDIERS FIELD ROAD / RAMP - WESTERN AVE TO SOLDIERS FIELD RD,,,UNDER RIVER ST.,,231494.4657,901249.7338
3367947,BOSTON,03-Jan-2013,1:30 PM,Not Reported,2,0,0,Not reported,V1: Turning left / V2:Travelling straight ahead,V1:Westbound / V2:Northbound ,V1: Not reported / V2: Not reported ,V1: Passenger car / V2:Passenger car,Not reported,Not reported,Not Reported,BEACON STREET / PARK DRIVE,,,,,,232535.3748,899651.148
3337067,BOSTON,03-Jan-2013,2:02 PM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Eastbound ,V1: Collision with highway traffic sign post ,"V1: Single-unit truck (2-axle, 6-tire)",Dry,Daylight,Clear,,SOLDIERS FIELD ROAD / WESTERN AVENUE,,,WESTERN AVE OVERPASS,,231463.2281,901589.1256
3328505,BOSTON,03-Jan-2013,2:03 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic,V1:Eastbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Not Reported,,SOLDIERS FIELD ROAD / RAMP - SOLDIERS FIELD RD EB TO WESTERN A,,,UNDER WESTERN AVE,,231463.2328,901590.555
3328506,BOSTON,03-Jan-2013,2:04 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic,V1:Eastbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Not Reported,,SOLDIERS FIELD ROAD / RAMP - SOLDIERS FIELD RD EB TO WESTERN A,,,UNDER WESTERN AVE,,231463.2296,901589.5775
3340837,BOSTON,03-Jan-2013,7:20 PM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Westbound ,V1: Collision with guardrail ,V1: Passenger car,Dry,Dark - lighted roadway,Clear,RAMP - RT 90 EB TO RT 93 NB / RAMP - RT 90 EB TO RT 93 / RAMP - RT 90 EB TO RT 93 SB,,,,D-RAMP  TO  RT #93  N@S,,236391.6062,899676.0005
3368335,BOSTON (BRIGHTON),04-Jan-2013,6:40 AM,Not Reported,1,0,0,"Sideswipe, opposite direction",V1: Travelling straight ahead,V1:Not reported ,V1: Collision with motor vehicle in traffic ,V1: Passenger car,Dry,Dusk,Clear/Other,MARKET STREET / WASHINGTON STREET,,,,,"P2:Other non-motorist (wheelchair, etc.)",228556.1159,899905.3581
3384625,BOSTON,04-Jan-2013,7:35 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Other / V2: Other ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car",Dry,Daylight,Cloudy,,LOGAN AIRPORT TERMINAL C / AIRPORT ROAD - ARRIVAL LEVEL,,,,,239713.3722,901950.7745
3384744,BOSTON,04-Jan-2013,8:55 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Clear,,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,,,RTE 93N SAVIN HILL AVE,,236858.9009,895696.361
3367560,BOSTON,04-Jan-2013,9:44 AM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1:Eastbound ,"V1: Collision with cyclist (bicycle, tricycle, unicycle, pedal car) ","V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Clear,BOYLSTON STREET / ARLINGTON STREET,,,,,"P2:Pedalcyclist (bicycle, tricycle, unicycle, pedal car)",235369.5467,900249.3125
