X,Y,CAD_EVENT_REL_COMMON_ID,FIRST_EVENT_SUBTYPE,XCOORD,YCOORD,CALENDAR_DATE,TIME,N_EVENTS
-71.071316786983303,42.300864811284519,1403832,REPORTED INJURIES   (P) (E) (F),772136.21,2934954.42,2016-01-01 00:00:00.000,00:56:45,1
-71.061881270086431,42.317987926802246,1404159,REPORTED INJURIES   (P) (E) (F),774656.68,2941207.32,2016-01-01 00:00:00.000,02:30:23,1
-71.131321696017253,42.356046190978446,1404194,PEDESTRIAN STRUCK   (P) (E) (F),755816.57,2954987.66,2016-01-01 00:00:00.000,02:49:56,1
-71.11779830513052,42.292441083482977,1404505,UNKNOWN IF INJURIES - ADVISE NEED FOR EMS   (P) (E) (F),759575.64,2931824.91,2016-01-01 00:00:00.000,05:47:14,1
-71.172093410533691,42.352076194350616,1405409,ENTRAPMENT   (P) (E) (F),744802.02,2953495.91,2016-01-01 00:00:00.000,18:22:22,1
-71.058915344459365,42.282011496781827,1405415,REPORTED INJURIES   (P) (E) (F),775526.61,2928101.11,2016-01-01 00:00:00.000,18:26:27,1
-71.073207641701657,42.309650867390459,1405703,REPORTED INJURIES   (P) (E) (F),771608.67,2938153.63,2016-01-01 00:00:00.000,22:04:36,1
-71.059124159223941,42.311006118221457,1405761,UNKNOWN IF INJURIES - ADVISE NEED FOR EMS   (P) (E) (F),775415.49,2938666.88,2016-01-01 00:00:00.000,22:49:40,1
-71.132114341740134,42.271216024353429,1406503,REPORTED INJURIES   (P) (E) (F),755735.66,2924073.15,2016-01-02 00:00:00.000,11:17:13,1
-71.077090165606222,42.288184856037255,1406531,REPORTED INJURIES   (P) (E) (F),770597.29,2930325.86,2016-01-02 00:00:00.000,11:36:59,1
-71.022704076410875,42.381256242899084,1407280,REPORTED INJURIES   (P) (E) (F),785123.1,2964320.28,2016-01-02 00:00:00.000,19:28:16,1
-71.118911175723483,42.285176642641424,1407324,REPORTED INJURIES   (P) (E) (F),759286.37,2929176.29,2016-01-02 00:00:00.000,20:00:55,1
-71.072494167718475,42.355736190120602,1407961,UNKNOWN IF INJURIES - ADVISE NEED FOR EMS   (P) (E) (F),771717.48,2954948.9,2016-01-03 00:00:00.000,04:52:05,1
-71.159484381701063,42.352466197871429,1408902,UNKNOWN IF INJURIES - ADVISE NEED FOR EMS   (P) (E) (F),748209.74,2953651.39,2016-01-03 00:00:00.000,19:00:27,1
-71.051671128716308,42.358086187678403,1409806,REPORTED INJURIES   (P) (E) (F),777341.2,2955834.18,2016-01-04 00:00:00.000,09:33:49,1
-71.072124196868316,42.332547160943271,1410434,PEDESTRIAN STRUCK   (P) (E) (F),771859.87,2946498.89,2016-01-04 00:00:00.000,15:11:11,1
