orig,geocoded,lat,lng
31 GLENVILLE AVE,"31 Glenville Ave, Boston, MA 02134, USA",42.3504522,-71.1331825
1532 HYDE PARK AVE,"1532 Hyde Park Ave, Hyde Park, MA 02136, USA",42.2465516,-71.12834269999999
39 ROSEMONT AVE,"39 Rosemont St, Boston, MA 02122, USA",42.2927721,-71.055041
,"Boston, MA, USA",42.3600825,-71.0588801
53 CLAPP ST,"53 Clapp St, Dorchester, MA 02125, USA",42.32342610000001,-71.0626346
106 ST THERESA AVE,"106 St Theresa Ave, Boston, MA 02132, USA",42.2768982,-71.15556649999999
528 HYDE PARK AVE,"528 Hyde Park Ave, Roslindale, MA 02131, USA",42.2823881,-71.1186113
25 MYSTIC ST,"25 Mystic St, Charlestown, MA 02129, USA",42.3801297,-71.0622528
373 COLUMBIA RD,"373 Columbia Rd, Dorchester, MA 02125, USA",42.3106948,-71.07065349999999
37 WEST SELDEN ST,"37 W Selden St, Mattapan, MA 02126, USA",42.2795108,-71.0842552
73 SUMMER ST,"73 Summer St, Boston, MA 02111, USA",42.3541908,-71.0587582
525 TALBOT AVE,"525 Talbot Ave, Dorchester Center, MA 02124, USA",42.2869732,-71.06517099999999
1413 HYDE PARK AV,"1413 Hyde Park Ave, Boston, MA 02136, USA",42.250635,-71.1265806
146 CONDOR ST,"146 Condor St, Boston, MA 02128, USA",42.38373199999999,-71.034818
206 NORTHAMPTON ST,"206 Northampton St, Boston, MA 02118, USA",42.3377268,-71.080089
632 BEACON ST,"632 Beacon St, Boston, MA 02215, USA",42.3496499,-71.094939
26 POLK ST,"26 Polk St, Boston, MA 02129, USA",42.3794956,-71.06122049999999
111 WESTERN AVE,"Soldiers Field Park 1, 111 Western Ave, Boston, MA 02163, USA",42.3660019,-71.1200181
28 RANDOLPH ST,"28 Randolph St, Boston, MA 02118, USA",42.3413755,-71.0642751
600 WASHINGTON ST,"600 Washington St, Boston, MA 02111, USA",42.3528027,-71.0619718
6 HUBBARD ST,"6 Hubbard St, Jamaica Plain, MA 02130, USA",42.3163323,-71.10614799999999
670 HUNTINGTON AVE,"670 Huntington Ave, Boston, MA 02115, USA",42.33498669999999,-71.1019755
