"","date","fog","rain","snow","snowfallm","snowfalli","monthtodatesnowfallm","monthtodatesnowfalli","since1julsnowfallm","since1julsnowfalli","snowdepthm","snowdepthi","hail","thunder","tornado","meantempm","meantempi","meandewptm","meandewpti","meanpressurem","meanpressurei","meanwindspdm","meanwindspdi","meanwdire","meanwdird","meanvism","meanvisi","humidity","maxtempm","maxtempi","mintempm","mintempi","maxhumidity","minhumidity","maxdewptm","maxdewpti","mindewptm","mindewpti","maxpressurem","maxpressurei","minpressurem","minpressurei","maxwspdm","maxwspdi","minwspdm","minwspdi","maxvism","maxvisi","minvism","minvisi","gdegreedays","heatingdegreedays","coolingdegreedays","precipm","precipi","precipsource","heatingdegreedaysnormal","monthtodateheatingdegreedays","monthtodateheatingdegreedaysnormal","since1sepheatingdegreedays","since1sepheatingdegreedaysnormal","since1julheatingdegreedays","since1julheatingdegreedaysnormal","coolingdegreedaysnormal","monthtodatecoolingdegreedays","monthtodatecoolingdegreedaysnormal","since1sepcoolingdegreedays","since1sepcoolingdegreedaysnormal","since1jancoolingdegreedays","since1jancoolingdegreedaysnormal"
"1","12:00 PM EST on January 01, 2016","0","0","0","T","T","T","T","2.29","0.90","","","0","0","0","3","37","-4","24","1013","29.93","20","13","","257","16","10","","5","41","1","33","70","46","-3","27","-8","18","1015","29.98","1012","29.88","37","23","11","7","16","10","13","8","0","28","0","T","T","","35","28","35","","","1486","2029","0","0","0","","","0","0"
"2","12:00 PM EST on January 02, 2016","0","0","0","0.00","0.00","T","T","2.29","0.90","","","0","0","0","2","36","-7","19","1013","29.93","21","13","","257","16","10","","4","40","-1","31","61","40","-6","21","-8","17","1015","29.98","1012","29.88","35","22","13","8","16","10","16","10","0","29","0","0.00","0.00","","35","57","70","","","1515","2064","0","0","0","","","0","0"
"3","12:00 PM EST on January 03, 2016","0","0","0","0.00","0.00","T","T","2.29","0.90","","","0","0","0","3","38","-6","22","1009","29.79","19","12","","244","16","10","","7","44","-1","31","69","43","-4","24","-7","20","1011","29.87","1006","29.71","34","21","11","7","16","10","16","10","0","27","0","0.00","0.00","","35","84","105","","","1542","2099","0","0","0","","","0","0"
"4","12:00 PM EST on January 04, 2016","0","0","1","T","T","T","T","2.29","0.90","","","0","0","0","-4","25","-10","14","1016","30.01","20","12","","328","14","9","","2","36","-10","14","72","50","-4","25","-17","2","1026","30.30","1010","29.82","34","21","6","4","16","10","3","2","0","40","0","T","T","","35","124","140","","","1582","2134","0","0","0","","","0","0"
"5","12:00 PM EST on January 05, 2016","0","0","0","0.00","0.00","T","T","2.29","0.90","","","0","0","0","-8","17","-19","-3","1034","30.53","16","10","","298","16","10","","-3","26","-13","8","58","27","-16","4","-21","-5","1035","30.58","1030","30.42","29","18","6","4","16","10","16","10","0","48","0","0.00","0.00","","36","172","176","","","1630","2170","0","0","0","","","0","0"
"6","12:00 PM EST on January 06, 2016","0","0","0","0.00","0.00","T","T","2.29","0.90","","","0","0","0","1","33","-17","2","1031","30.45","16","10","","227","16","10","","7","45","-6","21","45","12","-12","10","-21","-5","1034","30.53","1028","30.35","24","15","11","7","16","10","16","10","0","32","0","0.00","0.00","","36","204","212","","","1662","2206","0","0","0","","","0","0"
"7","12:00 PM EST on January 07, 2016","0","0","0","0.00","0.00","T","T","2.29","0.90","","","0","0","0","2","35","-10","14","1026","30.30","10","6","","316","16","10","","6","43","-3","26","72","22","-4","24","-14","6","1028","30.35","1024","30.24","23","14","0","0","16","10","16","10","0","30","0","0.00","0.00","","36","234","248","","","1692","2242","0","0","0","","","0","0"
"8","12:00 PM EST on January 08, 2016","0","0","0","0.00","0.00","T","T","2.29","0.90","","","0","0","0","2","36","-2","29","1025","30.26","18","11","","32","16","10","","6","42","-1","30","85","70","1","34","-4","24","1026","30.29","1024","30.23","29","18","11","7","16","10","16","10","0","29","0","0.00","0.00","","36","263","284","","","1721","2278","0","0","0","","","0","0"
"9","12:00 PM EST on January 09, 2016","0","1","0","0.00","0.00","T","T","2.29","0.90","","","0","0","0","4","40","2","36","1024","30.24","10","6","","14","10","6","","5","41","3","38","92","76","3","38","0","32","1026","30.29","1022","30.18","26","16","0","0","16","10","3","2","0","25","0","0.25","0.01","","36","288","320","","","1746","2314","0","0","0","","","0","0"
"10","12:00 PM EST on January 10, 2016","1","1","0","0.00","0.00","T","T","2.29","0.90","","","0","0","0","9","48","9","48","1004","29.66","24","15","","132","7","4","","14","58","3","38","100","83","14","57","3","37","1022","30.19","992","29.29","48","30","6","4","16","10","0","0","0","17","0","35.05","1.38","","36","305","356","","","1763","2350","0","0","0","","","0","0"
"11","12:00 PM EST on January 11, 2016","0","0","0","0.00","0.00","T","T","2.29","0.90","","","0","0","0","3","38","-11","13","1008","29.77","31","19","","279","16","10","","11","51","-4","25","74","28","4","39","-17","2","1019","30.08","995","29.39","48","30","16","10","16","10","16","10","0","27","0","0.00","0.00","","36","332","392","","","1790","2386","0","0","0","","","0","0"
"12","12:00 PM EST on January 12, 2016","0","1","1","0.76","0.30","0.76","0.30","3.05","1.20","","","0","0","0","-2","29","-7","19","1010","29.83","15","10","","197","15","9","","3","37","-6","21","96","39","0","32","-16","4","1020","30.11","1000","29.52","32","20","6","4","16","10","2","1","0","36","0","2.03","0.08","","36","368","428","","","1826","2422","0","0","0","","","0","0"
